8249	9041	7.55
stop_227_36219	stop_227_36229	1.2049999999999998
10199	18254	9.29
7951	8020	9.639999999999999
8027	stop_12_19	12.051666666666668
11681	11653	18.368333333333332
13080	8089	16.779999999999998
8164	9874	15.705
8358	stop_225_36019	13.805
7366	10055	14.81
9486	9485	1.495
12943	stop_237_37719	5.0600000000000005
13906	8389	4.505
18328	10015	4.635000000000001
10547	10488	11.226666666666667
13037	12985	5.36
7430	stop_335_260829	15.513333333333332
stop_289_58919	stop_345_268819	7.206666666666666
11514	13055	10.653333333333334
17765	7417	10.073333333333332
13855	10898	13.023333333333333
13663	8615	6.6
9169	12958	12.651666666666667
8000	13485	7.9
13309	9069	12.366666666666667
8053	11815	9.306666666666667
10931	14007	9.238333333333333
13177	stop_224_35949	11.104999999999999
13708	8408	10.301666666666668
13719	13025	10.555
9141	17511	15.548333333333334
17884	stop_272_46429	9.365
10269	10028	6.046666666666667
8249	8253	1.5566666666666669
10915	11761	8.975
9814	stop_2_5	10.993333333333334
7420	12134	13.511666666666667
10000	12134	15.906666666666666
13002	10244	6.631666666666666
17723	17725	5.588333333333334
10086	10277	11.606666666666666
13974	13792	12.303333333333335
stop_1488_3319	stop_1489_127119	12.483333333333333
stop_199_11229	stop_246_40839	12.876666666666667
13179	8361	7.556666666666667
18310	stop_571_303719	8.811666666666667
13608	18222	28.418333333333333
8371	7379	11.295
12946	11009	10.073333333333332
18029	12926	6.3149999999999995
13014	8685	10.805
10211	10208	3.71
stop_186_7019	stop_189_7329	9.53
12907	stop_246_40829	11.578333333333335
8253	9046	9.328333333333335
13345	13363	11.988333333333333
8190	8182	9.713333333333333
stop_277_56719	stop_316_94629	8.443333333333333
8003	stop_243_39219	1.0133333333333332
18235	9859	10.403333333333334
7566	13203	12.813333333333333
stop_246_40829	stop_246_40849	2.1516666666666664
18362	8153	15.49
7804	18024	8.07
11508	stop_316_94619	11.968333333333334
13865	7687	8.186666666666666
12568	13710	4.48
stop_223_35819	stop_325_136019	7.373333333333333
7365	8367	9.366666666666667
8599	stop_280_57229	6.855
17916	stop_246_40829	7.916666666666667
18124	11457	3.603333333333333
17941	stop_233_36929	6.055000000000001
7931	8404	9.176666666666668
stop_189_7319	stop_205_12719	10.583333333333334
7478	7488	5.661666666666666
17478	stop_1494_373119	4.761666666666667
11615	13415	7.328333333333333
8020	stop_254_42419	13.218333333333334
18294	18202	8.448333333333332
17540	17587	6.808333333333334
stop_292_61219	stop_293_61319	3.158333333333333
12016	11182	13.09
8371	13657	13.598333333333333
13699	17835	9.846666666666666
stop_226_36129	stop_957_333829	7.326666666666667
10848	stop_243_39219	8.606666666666666
8027	7956	7.948333333333333
13974	10030	9.823333333333332
stop_5_10	stop_203_12549	12.041666666666666
18043	18041	9.185
12577	13481	38.095
8128	17957	12.931666666666667
17538	17587	11.55
7825	14041	8.008333333333333
18170	11741	12.511666666666667
10063	7518	11.885
8906	stop_203_12539	11.45
7905	8604	2.125
stop_338_56919	stop_339_62119	12.168333333333333
7822	stop_282_57519	14.043333333333333
13723	7897	6.091666666666667
7818	stop_214_31329	11.331666666666667
13417	8903	14.743333333333334
13735	17270	4.395
12940	stop_311_82319	4.155
17953	stop_575_304129	15.018333333333334
10716	7420	7.72
13707	17824	5.298333333333333
stop_1_2	stop_330_254319	12.681666666666667
17830	12966	11.278333333333334
8893	12263	10.423333333333334
8169	13678	16.895
12338	9714	7.308333333333334
12938	12304	11.676666666666668
18127	11474	7.913333333333333
9972	12555	4.944999999999999
stop_219_32219	stop_222_35739	7.3100000000000005
8020	9923	10.065
12134	8373	9.085
13338	8471	12.555
13385	13531	7.248333333333333
stop_224_35939	stop_226_36129	4.54
13714	stop_205_12719	7.39
18390	stop_254_42429	13.805
8166	9714	14.046666666666665
13058	11741	11.475
7396	12305	9.946666666666665
7492	7458	15.183333333333334
18206	13918	3.865
8492	8496	10.815
11515	stop_1556_381029	9.323333333333332
17913	17911	9.639999999999999
7538	13188	11.729999999999999
11651	12581	17.248333333333335
18034	11187	10.823333333333332
13447	13749	9.816666666666666
stop_841_317630	stop_1343_364729	4.155
13620	stop_267_45939	13.993333333333334
8419	10323	14.048333333333334
11251	18147	17.1
12851	stop_298_63049	6.331666666666666
17653	17652	1.8033333333333335
18306	14005	12.378333333333334
8381	12141	2.4383333333333335
8499	8497	7.4
13722	stop_852_324229	4.141666666666667
stop_258_44219	stop_272_46429	15.436666666666667
13816	13817	6.463333333333334
7402	13669	10.596666666666666
9860	14151	7.093333333333334
17537	stop_1490_366219	5.576666666666667
13954	9783	7.126666666666667
13665	stop_338_56929	14.398333333333333
10232	10236	10.131666666666666
18274	stop_188_7229	8.336666666666666
13418	17793	10.276666666666667
8906	13052	13.375
11562	7729	10.358333333333333
12298	stop_219_32239	14.481666666666666
8643	stop_346_269019	12.860000000000001
10317	10498	6.8533333333333335
9541	8615	14.921666666666665
8799	12869	12.825
12846	stop_344_268719	7.34
8934	18385	9.370000000000001
12442	8154	6.8566666666666665
12846	8317	7.803333333333333
18390	8017	4.85
18289	17891	6.62
12927	8077	14.973333333333333
13720	13689	12.955
12898	18292	10.596666666666666
8643	12862	14.325
12326	stop_334_258229	15.191666666666666
stop_225_36029	stop_227_36219	10.836666666666668
7811	stop_219_32239	6.73
10346	13385	10.115
12996	12516	2.82
13665	9505	5.495
10082	10606	12.743333333333334
11306	9900	10.171666666666665
7849	13208	18.221666666666668
10395	10429	11.976666666666667
8404	stop_239_37919	10.110000000000001
12938	stop_570_303629	7.423333333333333
18349	17377	11.691666666666666
12402	stop_335_260819	8.863333333333333
10000	10065	9.775
10164	18284	9.048333333333334
stop_292_61229	stop_314_92259	6.319999999999999
10825	10897	5.3
stop_278_57029	stop_820_315819	7.973333333333333
18023	stop_1490_366229	9.351666666666667
8315	stop_339_62129	11.333333333333334
11478	13960	5.696666666666667
11516	stop_425_287119	3.9583333333333335
10923	10915	5.578333333333333
stop_12_21	stop_253_42329	9.08
8332	7991	7.38
12994	13002	9.895000000000001
14141	14142	8.273333333333333
17853	17854	7.716666666666667
17282	12983	12.468333333333334
stop_13_27	stop_313_86729	9.396666666666667
10559	8089	3.5683333333333334
10603	stop_224_35949	8.036666666666667
8361	stop_283_57629	11.575
8301	18128	11.18
12350	stop_302_67919	10.458333333333334
8076	8130	7.908333333333333
stop_11_23	stop_289_58929	12.246666666666666
13950	12487	10.763333333333332
13023	stop_246_40819	2.48
9411	13363	3.575
12917	18144	1.7716666666666667
11724	11701	14.216666666666667
11600	11591	4.501666666666667
17712	18384	21.501666666666665
18248	18367	1.3883333333333332
12910	stop_253_42319	0.9600000000000001
12318	7980	1.6883333333333332
9815	18127	8.521666666666667
18389	stop_248_41329	14.645000000000001
stop_219_32229	stop_1102_347019	7.733333333333333
9900	stop_280_57219	0.6766666666666666
stop_253_42319	stop_254_42419	7.995
7820	10081	0.795
10473	9754	7.426666666666667
7959	7960	6.108333333333333
10481	17342	7.073333333333333
7946	stop_253_42329	12.433333333333334
10213	18349	15.573333333333332
17668	7444	8.45
12907	12908	7.376666666666667
12303	18256	11.895000000000001
11617	12584	10.553333333333335
11022	11024	11.841666666666667
8973	9046	12.378333333333334
12304	17714	12.601666666666667
13676	10545	8.676666666666668
12985	stop_292_61219	12.491666666666667
stop_298_63019	stop_298_63039	3.1016666666666666
7535	7533	7.748333333333333
17577	stop_1493_373029	12.55
9119	8104	19.015
13117	stop_952_331019	1.9816666666666667
10231	10232	0.21
8123	stop_316_94619	8.686666666666667
10460	12403	9.243333333333334
13718	17918	13.014999999999999
stop_203_12529	stop_386_285929	10.711666666666668
18024	stop_214_31319	12.066666666666666
12570	17835	8.373333333333333
12910	8015	12.423333333333334
12877	13055	3.14
18065	stop_3_6	13.623333333333333
8670	8224	6.4783333333333335
18079	stop_267_45919	14.145000000000001
13385	14033	6.833333333333333
7822	7811	1.6233333333333335
18334	13699	13.263333333333332
9452	10635	4.658333333333333
10116	9142	8.673333333333334
18409	12635	10.793333333333333
13667	stop_1280_364319	12.729999999999999
18243	14154	14.338333333333333
12909	8015	6.201666666666667
7946	8021	13.898333333333333
17310	17307	3.765
11133	13028	9.413333333333332
13249	11354	7.891666666666667
stop_223_35829	stop_226_36119	10.925
17586	stop_1486_372439	7.538333333333333
12959	13053	11.325
7537	8709	6.98
18297	7946	5.5183333333333335
12594	17561	6.951666666666667
13037	8112	15.321666666666665
7515	14165	11.246666666666666
12887	17912	14.463333333333333
7399	stop_183_6119	17.23
13946	13929	9.629999999999999
7885	stop_1102_347029	8.198333333333332
8017	stop_13_28	12.035
12312	17965	6.819999999999999
13616	stop_267_45929	9.29
